314,Device Object-120_4120 Humidity HUM-AI11
315,Device Object-120_4120 Inlet air temperature T_InL-AI13
316,Device Object-120_4120 Maximum fan speed-AO3
317,Device Object-120_4120 Mixed air temperature T_Mix-AI12
318,Device Object-120_4120 Operation Status OPER-BI10
319,Device Object-120_4120 Performance Exhaust Vent P_exa-AI5
320,Device Object-120_4120 Performance Supply Vent P_supa-AI4
321,Device Object-120_4120 Real room temperature setpoint RTs_real-AI18
322,Device Object-120_4120 Request Cooling RC-BI1
323,Device Object-120_4120 Request Heating RH-BI2
324,Device Object-120_4120 Request Manual Control R_FeMo-BI15
325,Device Object-120_4120 Request Manual Service Control R_SeMo-BI4
326,Device Object-120_4120 Request Ventilation RV-BI3
327,Device Object-120_4120 Room Set Temperature RTs-AI7
328,Device Object-120_4120 Room Set Temperature RTs-AO1
329,Device Object-120_4120 Room Temperature RT-AI8
330,Device Object-120_4120 Secondary Air Damper SEC-AI6
331,Device Object-120_4120 Setpoint deviation cooling mode dTC_RT-AI16
332,Device Object-120_4120 Setpoint deviation heating mode dTH_RT-AI15
333,Device Object-120_4120 Simulation running SIM-BI7
334,Device Object-120_4120 User demand auto mode AUTO-BO2
335,Device Object-120_4120 User demand Main Switch ON-BO1
336,Device Object-120_4120 User demand ventilation performance P_vent-AI19
337,Device Object-120_4120 User demand ventilation performance P_vent-AO2
338,Device Object-120_4120 User Presence PRESENCE-BI8
339,Device Object-120_4120 User Release ON -BI6
340,Device Object-120_4120 VOC-AI9
341,Device Object-120_4120 Window Closed WIN-BI9
342,Device Object-121_4120 Ambient air temperature T_Amb-AI14
343,Device Object-121_4120 Anti freezing mode-BI14
344,Device Object-121_4120 Automatic cooling request RCauto-BI12
345,Device Object-121_4120 Automatic heating request RHauto-BI13
346,Device Object-121_4120 Automatic operation AUTO -BI5
347,Device Object-121_4120 Building cooling mode-BO4
348,Device Object-121_4120 Building heating mode-BO3
349,Device Object-121_4120 CO2-AI10
350,Device Object-121_4120 Cooling Valve P_cool-AI3
351,Device Object-121_4120 Error Status ERROR -BI11
352,Device Object-121_4120 Frost temperature T_Frost-AI17
353,Device Object-121_4120 Heat Recovery HRC-AI1
354,Device Object-121_4120 Heating Valve P_heat-AI2
355,Device Object-121_4120 Humidity HUM-AI11
356,Device Object-121_4120 Inlet air temperature T_InL-AI13
357,Device Object-121_4120 Maximum fan speed-AO3
358,Device Object-121_4120 Mixed air temperature T_Mix-AI12
359,Device Object-121_4120 Operation Status OPER-BI10
360,Device Object-121_4120 Performance Exhaust Vent P_exa-AI5
361,Device Object-121_4120 Performance Supply Vent P_supa-AI4
362,Device Object-121_4120 Real room temperature setpoint RTs_real-AI18
363,Device Object-121_4120 Request Cooling RC-BI1
364,Device Object-121_4120 Request Heating RH-BI2
365,Device Object-121_4120 Request Manual Control R_FeMo-BI15
366,Device Object-121_4120 Request Manual Service Control R_SeMo-BI4
367,Device Object-121_4120 Request Ventilation RV-BI3
368,Device Object-121_4120 Room Set Temperature RTs-AI7
369,Device Object-121_4120 Room Set Temperature RTs-AO1
370,Device Object-121_4120 Room Temperature RT-AI8
371,Device Object-121_4120 Secondary Air Damper SEC-AI6
372,Device Object-121_4120 Setpoint deviation cooling mode dTC_RT-AI16
373,Device Object-121_4120 Setpoint deviation heating mode dTH_RT-AI15
374,Device Object-121_4120 Simulation running SIM-BI7
375,Device Object-121_4120 User demand auto mode AUTO-BO2
376,Device Object-121_4120 User demand Main Switch ON-BO1
377,Device Object-121_4120 User demand ventilation performance P_vent-AI19
378,Device Object-121_4120 User demand ventilation performance P_vent-AO2
379,Device Object-121_4120 User Presence PRESENCE-BI8
380,Device Object-121_4120 User Release ON -BI6
381,Device Object-121_4120 VOC-AI9
382,Device Object-121_4120 Window Closed WIN-BI9
383,Device Object-122_4120 Ambient air temperature T_Amb-AI14
384,Device Object-122_4120 Anti freezing mode-BI14
385,Device Object-122_4120 Automatic cooling request RCauto-BI12
386,Device Object-122_4120 Automatic heating request RHauto-BI13
387,Device Object-122_4120 Automatic operation AUTO -BI5
388,Device Object-122_4120 Building cooling mode-BO4
389,Device Object-122_4120 Building heating mode-BO3
390,Device Object-122_4120 CO2-AI10
391,Device Object-122_4120 Cooling Valve P_cool-AI3
392,Device Object-122_4120 Error Status ERROR -BI11
393,Device Object-122_4120 Frost temperature T_Frost-AI17
394,Device Object-122_4120 Heat Recovery HRC-AI1
395,Device Object-122_4120 Heating Valve P_heat-AI2
396,Device Object-122_4120 Humidity HUM-AI11
397,Device Object-122_4120 Inlet air temperature T_InL-AI13
398,Device Object-122_4120 Maximum fan speed-AO3
399,Device Object-122_4120 Mixed air temperature T_Mix-AI12
400,Device Object-122_4120 Operation Status OPER-BI10
401,Device Object-122_4120 Performance Exhaust Vent P_exa-AI5
402,Device Object-122_4120 Performance Supply Vent P_supa-AI4
403,Device Object-122_4120 Real room temperature setpoint RTs_real-AI18
404,Device Object-122_4120 Request Cooling RC-BI1
405,Device Object-122_4120 Request Heating RH-BI2
406,Device Object-122_4120 Request Manual Control R_FeMo-BI15
407,Device Object-122_4120 Request Manual Service Control R_SeMo-BI4
408,Device Object-122_4120 Request Ventilation RV-BI3
